"","True Value","MSM with U","MSM without U","SF (MSM)","SF (BMSM)","SF (MSM, h=2)","SF (BMSM, h=2)","BSA time varying","BSA constant"
"1",-10.2498497242851,-10.3470379575821,-11.2432934717849,-10.349282146162,-10.3259213331436,-10.3295408244628,-10.2766990806201,-10.8461435794387,-10.7916342859724
"2",-10.2701821223684,-8.20238518297812,-9.6316005353109,-9.0191835228857,-9.03389294168313,-9.0229014033687,-9.0373440455387,-10.3316585284836,-10.1451731127612
"3",-10.2689434128842,-10.0902425664335,-11.559999495449,-10.2554029817074,-10.2681420519374,-10.2386597010194,-10.2591828979299,-8.78630998150834,-10.7020061840888
"4",-10.2574254090948,-10.5630127722219,-11.3257635447457,-9.85590772565966,-9.89011519772746,-9.87039099593932,-9.88101590509225,-9.75510778513148,-11.125927240236
"5",-10.2735072823012,-11.9386695959336,-13.0885066439479,-11.6741221824155,-11.6883596519015,-11.6590668638837,-11.6706573073135,-10.6817931523427,-12.0783538165624
"6",-10.2642228998034,-9.65404588269366,-11.1450541631935,-10.1447814732547,-10.1792185064334,-10.2040692513416,-10.2194015612647,-10.3439948053476,-10.4318792526399
"7",-10.2746682423036,-9.96901022616337,-10.5285538564119,-9.51545904630625,-9.50493892040461,-9.5509235928789,-9.55964593369487,-8.85749074242404,-9.98568562249009
"8",-10.2809481682104,-9.41452455235015,-10.4759095115827,-9.40614304899291,-9.35750007601278,-9.37044325151538,-9.26410888119249,-8.40121789073427,-10.344666142218
"9",-10.2763853713744,-11.3993680468713,-12.5216077245303,-10.9632126888742,-10.9832010137774,-10.9622141231418,-10.9849813399582,-10.917412406821,-11.4144266059664
"10",-10.2662843976878,-10.8553461061334,-11.5834738995237,-10.6539633881619,-10.6553984438847,-10.6189480436995,-10.5894411469592,-10.2840068026244,-10.963612194129
"11",-10.2560198900171,-9.94158409593502,-10.6623380556597,-9.76295808705193,-9.74000034426555,-9.73458642594183,-9.72136659297715,-9.39850727038617,-10.4625481882905
"12",-10.2610850097938,-11.0447550939817,-11.6874464684738,-10.4112159567485,-10.4125112538216,-10.3954105526103,-10.3904000005442,-10.1766531380436,-11.3083858449178
"13",-10.2710552702822,-10.5720220969303,-11.3897111655401,-10.2172780976385,-10.2391388869163,-10.208336190095,-10.2582917289744,-10.4697741591768,-10.7572012247186
"14",-10.2663236665072,-9.65045648755972,-10.5574577482085,-9.53988514735855,-9.53319719319589,-9.52867074376471,-9.54147681977912,-9.84535692713125,-10.2771132978675
"15",-10.2721431973165,-10.0941595436057,-11.3592468916288,-10.1702086272141,-10.1364434973249,-10.1668884210134,-10.1343549858004,-10.0608652694972,-10.3375974886109
"16",-10.2636735651282,-10.2209713591894,-11.6675210473984,-10.5189033577025,-10.5138088146007,-10.4911730007282,-10.4784483975341,-10.0054690460463,-10.4987300341033
