"","id","true value","MSM U included","MSM U excluded","SF method","BSA: time varying","BSA: time fixed"
"1",1,-10.2498497242851,-10.3470379575821,-11.2432934717849,-10.5243270452627,-10.8461435794387,-10.7916342859724
"2",2,-10.2701821223684,-8.20238518297812,-9.6316005353109,-9.05734439065243,-10.3316585284836,-10.1451731127612
"3",3,-10.2689434128842,-10.0902425664335,-11.559999495449,-10.602449444943,-8.78630998150834,-10.7020061840888
"4",4,-10.2574254090948,-10.5630127722219,-11.3257635447457,-10.1772604142547,-9.75510778513148,-11.125927240236
"5",5,-10.2735072823012,-11.9386695959336,-13.0885066439479,-12.0230113319964,-10.6817931523427,-12.0783538165624
"6",6,-10.2642228998034,-9.65404588269366,-11.1450541631935,-10.3386151984765,-10.3439948053476,-10.4318792526399
"7",7,-10.2746682423036,-9.96901022616337,-10.5285538564119,-9.72006956797954,-8.85749074242404,-9.98568562249009
"8",8,-10.2809481682104,-9.41452455235015,-10.4759095115827,-9.62571246901303,-8.40121789073427,-10.344666142218
"9",9,-10.2763853713744,-11.3993680468713,-12.5216077245303,-11.3566975683668,-10.917412406821,-11.4144266059664
"10",10,-10.2662843976878,-10.8553461061334,-11.5834738995237,-10.8195733774938,-10.2840068026244,-10.963612194129
"11",11,-10.2560198900171,-9.94158409593502,-10.6623380556597,-10.0301495333397,-9.39850727038617,-10.4625481882905
"12",12,-10.2610850097938,-11.0447550939817,-11.6874464684738,-10.6450505172396,-10.1766531380436,-11.3083858449178
"13",13,-10.2710552702822,-10.5720220969303,-11.3897111655401,-10.3989454038865,-10.4697741591768,-10.7572012247186
"14",14,-10.2663236665072,-9.65045648755972,-10.5574577482085,-9.76569528780538,-9.84535692713125,-10.2771132978675
"15",15,-10.2721431973165,-10.0941595436057,-11.3592468916288,-10.3709310522032,-10.0608652694972,-10.3375974886109
"16",16,-10.2636735651282,-10.2209713591894,-11.6675210473984,-10.7466812319839,-10.0054690460463,-10.4987300341033
"17",17,-10.2692113063343,-10.5889854246606,-12.1070180326518,-11.0657077395826,-10.5489712876142,-11.5365637724825
"18",18,-10.2642657805882,-9.46519419383968,-10.407760732281,-9.73660001826294,-9.92442420709359,-10.425102022632
"19",19,-10.2640507954859,-9.60440474222809,-10.493445494954,-9.78949011706591,-8.97451267987496,-9.75088645751732
"20",20,-10.2747179017709,-10.1053589411195,-11.3282299299314,-10.5039050968559,-10.3588947811577,-10.2874775346437
"21",21,-10.2629094906321,-10.6321987456791,-12.14880694882,-11.3452936142085,-10.8317097039334,-11.1461932231837
"22",22,-10.2644070302257,-9.31030822774563,-10.6957785047095,-9.97623424369735,-10.1360514911794,-10.4689342728043
"23",23,-10.2621389374515,-10.1236801919095,-10.4519790978445,-9.608596305257,-8.77802555941479,-10.3847288347185
"24",24,-10.2599355408546,-10.9105173505202,-11.8910266764126,-11.09442096585,-10.3878223461711,-11.0900778641446
"25",25,-10.2594210313557,-11.0203440520315,-11.8268207941147,-10.9258145667122,-11.5358532064291,-10.9269189979961
"26",26,-10.2646289728373,-9.49986523615529,-10.7015960765969,-9.91583809788985,-9.25477118880182,-10.5337664751406
"27",27,-10.2751996575588,-11.6658331071631,-12.6309055455099,-11.5632741839644,-11.2866706098547,-11.6304697659843
"28",28,-10.2756401470799,-10.3184806774009,-11.6489028180374,-10.6741683748597,-9.48641003593669,-8.99400637696685
"29",29,-10.259290170386,-9.04840295928807,-10.8497819249947,-9.991759937181,-7.4364318723792,-9.10895030829038
"30",30,-10.2727152496718,-10.4946072885198,-12.0180433569101,-10.9423871889977,-11.2816702986941,-12.132382362335
"31",31,-10.2805814876617,-9.46958591962801,-12.0532101249746,-11.0480408200766,-9.39797415146583,-10.7843119264258
"32",32,-10.2610820440346,-9.83466668162364,-10.6369296752599,-9.88670637197744,-7.96559034673048,-9.08213878003452
"33",33,-10.2804731910232,-10.3355335357055,-11.5592439319573,-10.6897094627635,-10.8468396144374,-10.8744869393762
"34",34,-10.2757293574389,-11.0746328267124,-11.7049142580437,-10.8634958721934,-10.1164154165068,-10.6425024660544
"35",35,-10.2713812719928,-10.5405215210016,-11.3570462431911,-10.4261418705523,-8.88687158004277,-10.0769490735172
"36",36,-10.2611547709583,-9.67231306458523,-10.5577541141424,-9.99458362060334,-8.65823637412472,-9.45387992535216
"37",37,-10.2799066773191,-10.290493957802,-11.1525867575014,-10.2344635814368,-7.63143800377651,-9.1772382710234
"38",38,-10.2615501799295,-11.4135778700312,-12.121946883747,-11.0694295664449,-9.84989181715047,-11.5278145497346
"39",39,-10.2678974387988,-10.2048253561001,-11.0877275861924,-10.149722413425,-9.29769450011444,-10.580794397635
"40",40,-10.2838784512117,-11.3464580562479,-12.2557873931118,-11.1592136395772,-10.3417054759945,-10.9179728121371
"41",41,-10.2657079932864,-10.6030191038128,-11.2890806408973,-10.3627004206876,-9.25358664567622,-9.74799710948175
"42",42,-10.283080953538,-9.24633225124406,-11.6005863909156,-10.8394377360684,-9.22516312813578,-10.3776132505945
"43",43,-10.2753674247792,-11.2911851874963,-12.0532224594086,-11.1915125031947,-7.752540092897,-9.41279475704224
"44",44,-10.2704268719133,-9.7555957169173,-11.0545307041146,-10.2880321590327,-9.02130303561378,-9.55897678202236
"45",45,-10.2685827679101,-10.7448488489659,-12.0236672850824,-11.0832032267774,-9.38161537713874,-10.9654768872521
"46",46,-10.2614480348131,-8.50744613179106,-10.1635330876436,-9.5462618275495,-9.55008663990711,-10.2234696113314
"47",47,-10.2674403015646,-10.1668433695891,-11.1894505799482,-10.4338839730458,-10.3579615565944,-10.5105421204885
"48",48,-10.2706204660114,-10.8436510417415,-11.9995655799828,-11.0285505470483,-10.0865050576097,-11.1065991877703
"49",49,-10.2798105701956,-9.63703886601836,-10.85335958188,-9.91680288948201,-9.73422630266643,-10.7561189390895
"50",50,-10.2645769376228,-11.2130006664355,-12.1678784836182,-11.090772986867,-10.0888762484505,-10.3149706773735
"51",51,-10.2563500786427,-9.85490608689569,-11.7146897340298,-10.7683428282257,-9.698288356271,-9.91214470729581
"52",52,-10.2677497622298,-9.96451589977601,-11.6031708282699,-10.7783279051859,-8.25674288990567,-10.0216690011134
"53",53,-10.2715277913358,-9.82447226713434,-10.8219625416705,-10.2414594616132,-7.23477307353794,-10.6035575176471
"54",54,-10.2633249322778,-10.125290167613,-11.3030820926864,-10.3459024313563,-9.45123228995971,-9.96963779478302
"55",55,-10.2457476301528,-10.5636816051457,-11.6027418326703,-10.9930867315046,-9.59630187771627,-10.7789097872081
